2012010001	-1985335656
2012010002	1324614643
2012010003	2011952005
2012010004	-1985335651
2012010005	2011952003
2012010006	2011952000
2012010007	1324614646
2012010008	-1985335663
2012010009	1324614648
2012010010	-1985335661
2012010011	1324614650
2012010012	2011952010
2012010013	-1985335660
2012010014	2011952008
2012010015	2011952009
2012010016	1324614593
2012010017	-1985335640
2012010018	1324614595
2012010019	-1985335638
2012010020	1324614597
2012010021	2011952051
2012010022	-1985335633
2012010023	2011952049
2012010024	2011952062
2012010025	1324614600
2012010026	-1985335645
2012010027	1324614602
2012010028	-1985335643
2012010029	1324614604
2012010030	2011952056
2012010031	-1985335642
2012010032	2011952038
2012010033	2011952039
2012010034	1324614611
2012010035	-1985335622
2012010036	1324614613
2012010037	-1985335620
2012010038	1324614615
2012010039	2011952033
2012010040	-1985335631
2012010041	2011952047
2012010042	2011952044
2012010043	1324614618
2012010044	-1985335627
2012010045	1324614620
2012010046	-1985335625
2012010047	1324614622
2012010048	2011952086
2012010049	-1985335608
2012010050	2011952084
2012010051	2011952085
2012010052	1324614565
2012010053	-1985335604
2012010054	1324614567
2012010055	-1985335602
2012010056	1324614569
2012010057	2011952095
2012010058	-1985335613
2012010059	2011952093
2012010060	2011952090
2012010061	1324614572
2012010062	-1985335609
2012010063	1324614574
2012010064	-1985335591
2012010065	1324614576
2012010066	2011952068
2012010067	-1985335590
2012010068	2011952066
2012010069	2011952067
2012010070	1324614583
2012010071	-1985335586
2012010072	1324614585
2012010073	-1985335600
2012010074	1324614587
2012010075	2011952077
2012010076	-1985335595
2012010077	2011952075
2012010078	2011952072
2012010079	1324614590
2012010080	-1985335575
2012010081	1324614528
2012010082	-1985335573
2012010083	1324614530
2012010084	2011952114
2012010085	-1985335572
2012010086	2011952112
2012010087	2011952113
2012010088	1324614537
2012010089	-1985335584
2012010090	1324614539
2012010091	-1985335582
2012010092	1324614541
2012010093	2011952123
2012010094	-1985335577
2012010095	2011952121
2012010096	2011952102
2012010097	1324614544
2012010098	-1985335557
2012010099	1324614546
2012010100	-1985335555
2012010101	1324614548
2012010102	2011952096
2012010103	-1985335554
2012010104	2011952110
2012010105	2011952111
2012010106	1324614555
